site_no,site_name,timestamp_utc,flow_cfs,pct_change_1h,pct_change_3h,pct_change_6h
1622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-17 15:45:00+00:00,70.5,4.444444444444445,-4.081632653061225,-6.125166444740339
1626850,"SOUTH RIVER NEAR DOOMS, VA",2025-11-17 15:45:00+00:00,59.4,5.319148936170213,2.590673575129534,0.0
2024752,"JAMES RIVER AT BLUE RIDGE PKWY NR BIG ISLAND, VA",2025-11-17 15:45:00+00:00,671.0,0.0,2.2865853658536586,2.2865853658536586
1654000,"ACCOTINK CREEK NEAR ANNANDALE, VA",2025-11-17 15:45:00+00:00,1.64,-13.684210526315791,-13.684210526315791,-61.32075471698114
2032250,"MOORMANS RIVER NEAR FREE UNION, VA",2025-11-17 15:45:00+00:00,10.1,0.0,4.231166150670796,4.231166150670796
1644000,"GOOSE CREEK NEAR LEESBURG, VA",2025-11-17 15:45:00+00:00,5.15,-5.677655677655671,-5.677655677655671,-5.677655677655671
2032515,"S F RIVANNA RIVER NEAR CHARLOTTESVILLE, VA",2025-11-17 15:45:00+00:00,38.1,3.252032520325211,6.424581005586605,-2.8061224489795955
2035000,"JAMES RIVER AT CARTERSVILLE, VA",2025-11-17 15:45:00+00:00,1280.0,-3.7593984962406015,0.7874015748031495,1.5873015873015872
1643700,"GOOSE CREEK NEAR MIDDLEBURG, VA",2025-11-17 15:45:00+00:00,11.1,5.714285714285711,5.714285714285711,5.714285714285711
1667500,"RAPIDAN RIVER NEAR CULPEPER, VA",2025-11-17 15:45:00+00:00,77.8,0.0,-2.7500000000000036,-8.037825059101653
1636316,"SPOUT RUN AT RT 621 NEAR MILLWOOD, VA",2025-11-17 15:45:00+00:00,7.45,6.886657101865143,6.886657101865143,-6.052963430012605
1654670,"ACCOTINK CREEK AT KEENE MILL RD AT SPRINGFIELD, VA",2025-11-17 15:50:00+00:00,70.5,2.0260492040521068,0.0,0.0
1643880,"BEAVERDAM CREEK AT RT 734 NEAR MOUNTVILLE, VA",2025-11-17 15:50:00+00:00,6.58,0.0,0.0,0.0
1654500,"LONG BRANCH NEAR ANNANDALE, VA",2025-11-17 15:55:00+00:00,2.89,0.0,0.0,0.0
2021500,"MAURY RIVER AT ROCKBRIDGE BATHS, VA",2025-11-17 16:00:00+00:00,33.8,0.0,-3.4285714285714364,-3.4285714285714364
1668000,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",2025-11-17 16:00:00+00:00,168.0,0.0,0.0,0.0
1671200,"SOUTH ANNA RIVER NEAR GORDONSVILLE, VA",2025-11-17 16:00:00+00:00,0.38,-7.317073170731701,0.0,-7.317073170731701
